id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.218844,2107633503,41,3241147903,43975637.0,0.218514,0.195794,0.020177,10.15621,206084278.0,10.8377,9643359951.633312,14829692089.32989,100000000000.0,2.99,-92.77431,2025-02-26T16:41:03.732Z,0.131244,64.48431,2026-02-11T17:06:46.605Z,,2026-03-07T01:33:02.168Z
hashnote-usyc,usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1.12,2034602729,42,2034602729,55935.0,,,,,,,1818723405.168909,1818723405.168909,,1.12,-0.00027,2026-03-04T11:11:25.534Z,1.026,9.02399,2024-12-05T22:31:20.475Z,,2026-03-05T00:43:04.053Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,96.11,2018573818,43,2018573818,88711138.0,100.0,92.72,-3.7596876240139068,-3.76446,-71062645.41715169,-3.40072,21000000.0,21000000.0,21000000.0,228.74,-57.88524,2025-10-05T00:00:00.000Z,0.580608,16491.75605,2019-01-14T00:00:00.000Z,,2026-03-07T01:33:01.431Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2006825079,44,2006825079,0.0,1.0,1.0,0.0,0.0,189933.0,0.00947,2006825078.810449,2006825078.810449,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2026-03-07T01:25:06.008Z
falcon-finance,usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,0.997142,1736647323,45,1736647323,1915715.0,0.997808,0.996497,-0.000386365504747466,-0.03873,-1268967.4674162865,-0.07302,1741653617.043059,1741653617.043059,,1.075,-7.21371,2025-05-08T21:25:42.071Z,0.943422,5.68597,2025-07-08T10:16:34.749Z,,2026-03-07T01:32:58.144Z
aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,0.701501,1721906254,46,5487060555,116064326.0,0.711608,0.688015,0.00194905,0.27861,6726670.0,0.39218,2454947754.91,7822985112.003392,8000000000.0,2.41,-70.87681,2025-09-24T11:18:14.634Z,0.099713,603.51653,2025-09-17T12:05:36.771Z,,2026-03-07T01:33:04.410Z
global-dollar,usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,0.999913,1702388629,47,1702388629,39925747.0,1.0,0.999741,8.042e-05,0.00804,-6368417.234545708,-0.37269,1702443208.327694,1702443208.327694,,1.65,-39.56437,2025-01-30T00:11:05.728Z,0.907561,10.17628,2024-11-11T23:55:50.604Z,,2026-03-07T01:32:58.974Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,177.1,1700530806,48,3720883608,95363364.0,189.8,174.25,-8.935871824573383,-4.80328,-81651964.10198689,-4.58157,9597491.0,21000000.0,21000000.0,757.6,-76.62158,2024-03-07T18:45:36.466Z,30.83,474.4932,2023-05-14T08:57:53.732Z,,2026-03-07T01:33:05.310Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,110.83,1682766616,49,1773391000,287059167.0,118.44,109.56,-5.9654194974902595,-5.1077,-90310532.07482934,-5.09344,15182362.969166202,16000000.0,16000000.0,661.69,-83.23864,2021-05-18T21:19:59.514Z,26.02,326.19079,2020-11-05T09:20:11.928Z,,2026-03-07T01:33:03.170Z
sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,0.070895,1633497638,50,1663554623,9422915.0,0.077079,0.070726,-0.005671309395681612,-7.40705,-131826532.85004234,-7.46755,23038743408.97563,23462665147.36596,23462665147.3,0.100535,-29.47597,2024-12-04T10:13:57.264Z,0.03582727,97.89813,2025-02-03T05:01:48.626Z,,2026-03-07T01:33:03.161Z
